 198110070059  2.0  -125.470   49.020   PGC     29.00   Mw   2.0 Mq     2.00
 198110120413  2.4  -125.260   48.840   PGC     41.00   Mw   2.4 Mq     2.40
 198110241742  2.1  -124.210   49.940   PGC      1.00   Mw   2.1 Mq     2.10
 198201021210  2.4  -125.920   49.220   PGC      7.00   Mw   2.4 Mq     2.40
 198204291434  2.0  -126.190   49.370   PGC      8.00   Mw   2.0 Mq     2.00
 198205171834  2.0  -124.010   48.820   PGC     30.00   Mw   1.4 Mq     1.97
 198207070359  2.4  -123.480   49.870   PGC      6.00   Mw   2.4 Mq     2.40
 198207290056  2.1  -123.630   49.250   PGC     13.00   Mw   2.1 Mq     2.10
 198301171213  2.3  -124.220   50.980   PGC     18.00 F Mw   2.3 Mq     2.30
 198303131713  2.3  -123.950   49.310   PGC     63.00   Mw   1.7 Mq     2.27
 198304091700  2.1  -123.110   49.960   PGC      7.00   Mw   2.1 Mq     2.10
 198306022329  2.0  -122.720   49.180   PGC     14.00   Mw   2.0 Mq     2.00
 198306090328  2.1  -124.710   48.820   PGC      2.00   Mw   2.1 Mq     2.10
 198307171503  2.0  -125.650   49.100   PGC     38.00   Mw   2.0 Mq     2.00
 198307201117  2.0  -124.700   51.270   PGC     18.00 F Mw   2.0 Mq     2.00
 198309202002  2.4  -124.470   51.150   PGC     18.00 F Mw   2.4 Mq     2.40
 198310050001  2.1  -125.020   48.660   PGC     28.00   Mw   2.1 Mq     2.10
 198311120204  2.1  -125.980   49.200   PGC     37.00   Mw   2.1 Mq     2.10
 198401051305  2.0  -122.730   48.980   PGC     18.00   Mw   2.0 Mq     2.00
 198403060947  2.2  -124.200   49.940   PGC      1.00   Mw   2.2 Mq     2.20
 198403201309  2.1  -123.630   49.170   PGC     56.00   Mw   1.5 Mq     2.07
 198411010824  2.1  -122.040   49.070   PGC      7.00   Mw   2.1 Mq     2.10
 198411020810  2.3  -124.310   50.710   PGC     20.00   Mw   2.3 Mq     2.30
 198503060739  2.2  -122.800   48.820   PGC     68.00   Mw   1.6 Mq     2.17
 198503191722  2.0  -124.930   48.750   PGC     34.00   Mw   2.0 Mq     2.00
 198504091847  2.0  -122.990   48.870   PGC     58.00   Mw   1.4 Mq     1.97
 198504131053  2.4  -125.520   49.110   PGC     33.00 F Mw   2.4 Mq     2.40
 198506160703  2.2  -123.920   49.340   PGC     66.00   Mw   1.6 Mq     2.17
 198512041532  2.0  -123.250   48.800   PGC     53.00   Mw   1.4 Mq     1.97
 198601020004  2.1  -122.310   49.100   PGC      5.00   Mw   2.1 Mq     2.10
 198602230909  2.2  -125.870   49.150   PGC     29.00   Mw   2.2 Mq     2.20
 198602250741  2.3  -123.900   48.720   PGC     43.00   Mw   1.7 Mq     2.27
 198602271146  2.0  -123.740   49.960   PGC      1.00   Mw   2.0 Mq     2.00
 198609211058  2.4  -124.986   51.144   PGC      5.00 F Mw   2.4 Mq     2.40
 198611162121  2.3  -125.659   49.108   PGC     19.19   Mw   2.3 Mq     2.30
 198708190317  2.4  -125.636   50.807   PGC      5.00 F Mw   2.4 Mq     2.40
 198709181850  2.3  -122.711   49.087   PGC      4.11   Mw   2.3 Mq     2.30
 198710100323  2.2  -125.602   49.047   PGC     19.26   Mw   2.2 Mq     2.20
 198711080058  2.3  -122.581   48.834   PGC     15.86   Mw   2.3 Mq     2.30
 198711280615  2.1  -124.530   50.691   PGC      5.00 F Mw   2.1 Mq     2.10
 198801060542  2.3  -124.336   50.674   PGC      5.00 F Mw   2.3 Mq     2.30
